[Parameters]
Operating Mode, Non-Feedback
0.379,0.055,0.288,-5.337
0.373,0.056,0.286,-5.337
0.316,0.055,0.281,-5.337
0.323,0.048,0.279,-5.337
0.373,0.049,0.282,-5.337
0.330,0.053,0.283,-5.337
0.356,0.057,0.280,-5.337
0.405,0.055,0.276,-5.337
0.365,0.055,0.275,-5.337
0.274,0.055,0.278,-5.337
0.297,0.058,0.285,-5.337
0.351,0.062,0.285,-5.337
0.290,0.061,0.284,-5.337
0.288,0.057,0.280,-5.337
0.356,0.060,0.284,-5.337
0.385,0.060,0.284,-5.337
0.335,0.065,0.281,-5.337
0.296,0.063,0.280,-5.337
0.317,0.062,0.282,-5.337
0.334,0.060,0.282,-5.337
0.319,0.059,0.280,-5.337
0.280,0.059,0.280,-5.337
0.256,0.061,0.284,-5.337
0.199,0.061,0.283,-5.337
0.168,0.062,0.279,-5.337
0.241,0.062,0.278,-5.337
0.271,0.064,0.278,-5.337
0.258,0.062,0.282,-5.337
0.214,0.061,0.281,-5.337
0.137,0.063,0.281,-5.337
0.210,0.059,0.277,-5.337
0.284,0.059,0.278,-5.337
0.234,0.059,0.278,-5.337
0.222,0.059,0.281,-5.337
0.270,0.055,0.283,-5.337
0.325,0.055,0.284,-5.337
0.369,0.059,0.282,-5.337
0.403,0.061,0.279,-5.337
0.435,0.056,0.279,-5.337
0.401,0.058,0.279,-5.337
0.341,0.059,0.278,-5.337
0.277,0.061,0.280,-5.337
0.223,0.060,0.284,-5.337
0.272,0.058,0.286,-5.337
0.387,0.057,0.285,-5.337
0.383,0.056,0.281,-5.337
0.286,0.061,0.280,-5.337
0.311,0.060,0.278,-5.337
0.394,0.062,0.281,-5.337
0.379,0.061,0.281,-5.337
0.349,0.063,0.282,-5.337
0.360,0.060,0.280,-5.337
0.388,0.059,0.281,-5.337
0.443,0.058,0.279,-5.337
0.364,0.062,0.278,-5.337
0.344,0.062,0.279,-5.337
0.317,0.064,0.282,-5.337
0.318,0.063,0.282,-5.337
0.380,0.063,0.279,-5.337
0.416,0.063,0.278,-5.337
0.387,0.064,0.278,-5.337
0.400,0.062,0.280,-5.337
0.412,0.062,0.282,-5.337
0.387,0.063,0.284,-5.337
0.332,0.066,0.285,-5.337
0.315,0.064,0.282,-5.337
0.358,0.063,0.280,-5.337
0.361,0.066,0.282,-5.337
0.396,0.064,0.281,-5.337
0.372,0.062,0.281,-5.337
0.254,0.062,0.282,-5.337
0.237,0.063,0.284,-5.337
0.280,0.067,0.285,-5.337
0.307,0.066,0.287,-5.337
0.318,0.063,0.282,-5.337
0.352,0.063,0.277,-5.337
0.371,0.061,0.276,-5.337
0.370,0.062,0.279,-5.337
0.367,0.060,0.283,-5.337
0.326,0.063,0.286,-5.337
0.242,0.067,0.283,-5.337
0.202,0.067,0.284,-5.337
0.300,0.065,0.281,-5.337
0.371,0.066,0.279,-5.337
0.387,0.067,0.283,-5.337
0.401,0.065,0.285,-5.337
0.438,0.065,0.281,-5.337
0.413,0.062,0.279,-5.337
0.374,0.062,0.281,-5.337
0.392,0.061,0.281,-5.337
0.337,0.064,0.281,-5.337
0.281,0.063,0.280,-5.337
0.317,0.063,0.282,-5.337
0.325,0.066,0.284,-5.337
